vacc;mspi;dyst;disg_sens;party;sys_jus
1;-0,18542182195048487;4;-0,44317294074312702;ruling party;1,6188565542620663
1;0,77764628926948287;1;-0,85848394071442846;opposition;-1,3675920554259595
1;-1,32683587969266892;2;0,47051125919373638;NA;-1,0357644321272901
1;-0,77396344547379847;2;1,05194665915355845;NA;-0,3721091855299509
0;1,49459699428879245;1;1,96563085909042190;opposition;0,9552013076647274
1;0,88465385718281253;2;0,30438685920521569;radicals;-0,0402815622312812
1;-1,71027966471543369;1;0,71969785917651707;ruling party;1,9506841775607355
1;0,47802509911215985;1;0,71969785917651707;opposition;-0,7039368088286204
1;1,46249472391479296;1;1,57108540911768535;opposition;-1,3675920554259595
1;1,48389623749745936;4;0,88582225916503776;nonVote;1,2870289309633967
0;0,45662358552949361;1;-1,93829254063981260;NA;-1,0357644321272901
0;0,67063872135615310;NA;-0,02786194077182568;NA;0,6233736843660577
1;-1,50518182621488483;4;0,96888445915929844;ruling party;0,6233736843660577
1;NA;NA;-0,77542174072016812;ruling party;NA
1;-0,91307328376112717;4;0,55357345918799705;ruling party;0,6233736843660577
1;-2,53958831604373936;NA;0,22132465921095568;NA;-1,3675920554259595
0;-1,15919068996178565;2;0,05520025922243499;NA;0,6233736843660577
1;-1,20199371712711756;3;-0,44317294074312702;NA;0,6233736843660577
1;NA;3;-0,36011074074886673;ruling party;NA
0;-2,21856561230374982;2;1,30113325913633981;NA;-0,0402815622312812
1;-2,61984399197873641;NA;0,63663565918225706;NA;-1,3675920554259595
0;0,25330920649416722;NA;0,05520025922243499;NA;-0,0402815622312812
1;-0,05701274045448887;4;-0,69235954072590777;ruling party;2,6143394241580751
1;-0,95587631092645897;1;-1,27379494068572985;NA;-0,0402815622312812
1;0,04999482745884087;1;-0,27704854075460639;opposition;-1,3675920554259595
1;1,40899093995812819;1;NA;nonVote;-0,8698506204779552
0;0,34961601761616384;4;1,88256865909616189;ruling party;0,2915460610673880
0;-0,29242938986381461;1;-0,77542174072016812;radicals;0,6233736843660577
0;0,37101753119883013;4;1,30113325913633981;nonVote;-1,0357644321272901
1;-0,29242938986381461;4;-0,27704854075460639;radicals;0,6233736843660577
0;-0,61345209360380382;2;0,63663565918225706;NA;-0,7039368088286204
1;0,51012736948615844;1;-1,68910594065703146;opposition;-0,3721091855299509
1;1,22707807450546813;4;0,30438685920521569;ruling party;-0,7039368088286204
0;NA;4;NA;ruling party;2,6143394241580751
1;NA;3;-2,35360354061111376;ruling party;0,6233736843660577
1;NA;NA;NA;NA;-1,3675920554259595
1;-0,29242938986381461;1;0,22132465921095568;opposition;-1,3675920554259595
0;-0,32453166023781321;2;2,13175525907894237;ruling party;-0,0402815622312812
1;-0,98797858130045801;1;-0,69235954072590777;opposition;-0,7039368088286204
1;-0,70975890472580050;1;-0,02786194077182568;opposition;-1,3675920554259595
1;0,85790196520448014;1;1,38419545913059983;opposition;0,6233736843660577
1;0,11419936820683811;2;-0,44317294074312702;opposition;-1,0357644321272901
1;-0,60275133681247073;NA;-0,60929734073164743;ruling party;0,6233736843660577
1;-0,62682803959297007;2;-0,77542174072016812;ruling party;0,6233736843660577
1;-1,26619825787511542;1;-1,52298154066851077;opposition;-0,3721091855299509
1;-0,88097101338712824;1;-0,94154614070868881;opposition;-0,7039368088286204
1;1,50529775108012487;1;0,55357345918799705;opposition;-1,3675920554259595
1;0,87395310039147944;1;-1,52298154066851077;opposition;-1,3675920554259595
1;-1,14848993317045256;NA;-2,35360354061111376;NA;NA
1;0,38171828799016250;4;-1,85523034064555192;ruling party;1,6188565542620663
0;1,50529775108012487;1;1,21807105914207914;radicals;-1,3675920554259595
1;-1,81193685423309692;2;0,30438685920521569;opposition;-0,3721091855299509
1;-0,88097101338712824;4;1,01041555915642833;ruling party;1,6188565542620663
1;-0,77396344547379847;1;-0,52623514073738709;opposition;0,2915460610673880
1;-1,37320582578844519;2;-0,52623514073738709;opposition;0,2915460610673880
0;0,02859331387617462;4;0,35630073420162850;nonVote;-0,7039368088286204
0;0,34961601761616384;2;-0,11092414076608569;opposition;-0,7039368088286204
1;-0,29242938986381461;1;-0,36011074074886673;opposition;-0,3721091855299509
0;0,99166142509614230;1;0,63663565918225706;radicals;-1,3675920554259595
0;-0,77396344547379847;2;0,22132465921095568;radicals;-0,3721091855299509
1;-0,79536495905646432;2;0,71969785917651707;other;-0,0402815622312812
1;1,51599850787145796;1;0,05520025922243499;opposition;-1,3675920554259595
1;-1,70492928631976715;4;-0,36011074074886673;nonVote;0,9552013076647274
0;0,67063872135615310;1;-2,02135474063407239;ruling party;2,6143394241580751
0;0,34961601761616384;2;-2,02135474063407239;NA;-1,0357644321272901
1;-1,36250506899711210;1;-0,02786194077182568;ruling party;0,2915460610673880
1;-0,07841425403715513;NA;2,04869305908468258;NA;NA
1;0,46732434232082670;3;-0,11092414076608569;ruling party;1,2870289309633967
1;-0,82746722943046336;2;-1,02460834070294915;nonVote;0,2915460610673880
1;-0,11051652441115374;2;-0,11092414076608569;NA;0,2915460610673880
1;0,24260844970283410;3;1,46725765912485984;ruling party;0,6233736843660577
1;0,19980542253750236;NA;0,80276005917077775;NA;-1,0357644321272901
1;0,68847331600837447;2;0,63663565918225706;NA;0,6233736843660577
0;0,68133947814748619;2;-0,19398634076034602;ruling party;0,6233736843660577
1;-0,42083847135981023;1;-1,02460834070294915;NA;-0,7039368088286204
1;1,05586596584414028;3;-0,60929734073164743;radicals;0,2915460610673880
1;-1,55511869124110569;2;-0,60929734073164743;NA;-0,3721091855299509
0;-0,93447479734379313;4;-1,02460834070294915;ruling party;0,2915460610673880
1;-1,45881188011910878;1;-0,60929734073164743;opposition;1,6188565542620663
1;NA;3;-0,85848394071442846;ruling party;1,6188565542620663
