voiv,mspi_z,pis,corrupt_z
Lubelskie,-0.2924293898638146,0,-0.47388859419267165
Łódzkie,-0.6134520936038038,NA,-0.22376760606785712
Mazowieckie,0.5101273694861584,0,0.7608476432573192
Mazowieckie,1.2270780745054681,1,0.7608476432573192
Podlaskie,NA,1,-0.7436565481520638
Podlaskie,NA,1,-0.7436565481520638
Podlaskie,NA,NA,-0.7436565481520638
Pomorskie,-0.2924293898638146,0,-0.03712143063937014
Śląskie,-0.3245316602378132,1,3.209161847258525
Śląskie,-0.987978581300458,0,3.209161847258525
Wielkopolskie,-0.7097589047258005,0,-0.4633094587432838
Wielkopolskie,0.8579019652044801,0,-0.4633094587432838
Wielkopolskie,0.11419936820683811,0,-0.4633094587432838
Warmińsko-mazurskie,-0.6027513368124707,1,-0.7678374291792363
Lubelskie,-0.6268280395929701,1,-0.47388859419267165
Mazowieckie,-1.2661982578751154,0,0.7608476432573192
Mazowieckie,-0.8809710133871282,0,0.7608476432573192
Pomorskie,1.5052977510801249,0,-0.03712143063937014
Pomorskie,0.8739531003914794,0,-0.03712143063937014
Pomorskie,-1.1484899331704526,NA,-0.03712143063937014
Pomorskie,0.3817182879901625,1,-0.03712143063937014
Pomorskie,1.5052977510801249,0,-0.03712143063937014
Śląskie,-1.811936854233097,0,3.209161847258525
Śląskie,-0.8809710133871282,1,3.209161847258525
Śląskie,-0.7739634454737985,0,3.209161847258525
Śląskie,-1.3732058257884452,0,3.209161847258525
Pomorskie,0.02859331387617462,0,-0.03712143063937014
Pomorskie,0.34961601761616384,0,-0.03712143063937014
Pomorskie,-0.2924293898638146,0,-0.03712143063937014
Pomorskie,0.9916614250961423,0,-0.03712143063937014
Pomorskie,-0.7739634454737985,0,-0.03712143063937014
Lubuskie,-0.7953649590564643,0,0.4721883759954486
Kujawsko-pomorskie,1.515998507871458,0,-0.6046164822458225
Lubuskie,-1.7049292863197671,0,0.4721883759954486
Dolnośląskie,0.6706387213561531,1,-0.5214947037149174
Podkarpackie,0.34961601761616384,NA,-0.6106617025026155
